external_id,store_id,brand,name,lat,lng,address,city,state,zip,country,phone_number,time_zone,dma,status,website_url,geofence_radius
4513,4513,Aeropostale,PRIME OUTLET AEROPOSTALE,18.437485,-66.542679,PRIME OUTLET PUERTO RICO,BARCELONETA,PR,00613,USA,,America/Halifax,,,,
4514,4514,Aeropostale,PLAZA DEL NORTE AERO,18.482117,-66.772019,506 TRUCADO ST. PR-2,HATILO,PR,00659,USA,,America/Halifax,,,,
4518,4518,Aeropostale,PLAZA ISABELA,18.469,-67.0234,PR2 & PR4 4494,ISABELA,PR,00662,USA,,America/Halifax,,,,
4519,4519,Aeropostale,MAYAGUEZ MALL AEROPOSTALE,0,0,MAYAGUEZ MALL,MAYAGUEZ,PR,00680,USA,,America/Halifax,,,,
4520,4520,Aeropostale,PLAZA DEL CARIBE AEROPOST,0,0,PLAZA DEL CARIBE,PONCE,PR,00717,USA,,America/Halifax,,,,
4515,4515,Aeropostale,LAS CATALINAS MALL,18.23636,-66.041306,400 CALLE BEANCES,CAGUAS,PR,00725,USA,,America/Halifax,,,,
4516,4516,Aeropostale,THE OUTLET AT ROUTE 66,18.371103,-65.899687,STATE ROAD #3 KM 18.4,CANOVANAS,PR,00729,USA,,America/Halifax,,,,
4512,4512,Aeropostale,LAS AMERICAS AERO PR,18.421792,-66.074379,PLAZA LAS AMERICAS,SAN JUAN,PR,00918,USA,,America/Halifax,,,,
4517,4517,Aeropostale,PLAZA DEL SOL,18.406454,-66.163091,725 AVENIDA PRINCIPAL OES,BAYAMON,PR,00961,USA,,America/Halifax,,,,
4511,4511,Aeropostale,CAROLINA AEROPOSTALE PR,18.393819,-65.973736,PLAZA CAROLINA,CAROLINA,PR,00983,USA,,America/Halifax,,,,
704,704,Aeropostale,HAMPSHIRE AEROPOSTALE,42.357964,-72.550337,HAMPSHIRE MALL,HADLEY,MA,01035,USA,,America/New_York,,,,
112,112,Aeropostale,HOLYOKE AEROPOSTALE,42.171947,-72.640257,HOLYOKE MALL,HOLYOKE,MA,01040,USA,,America/New_York,,,,
468,468,Aeropostale,EASTFIELD AEROPOSTALE,42.143197,-72.488363,EASTFIELD MALL,SPRINGFIELD,MA,01129,USA,,America/New_York,,,,
344,344,Aeropostale,BERKSHIRE (MA) AEROPOSTAL,42.491925,-73.20538,BERKSHIRE MALL,LANESBORO,MA,01237,USA,,America/New_York,,,,
935,935,Aeropostale,LEE AEROPOSTALE,42.296838,-73.234749,PRIME OUTLETS LEE,LEE,MA,01238,USA,,America/New_York,,,,
339,339,Aeropostale,WHITNEY FIELD AEROPOSTALE,42.530239,-71.740147,THE MALL AT WHITNEY FIELD,LEOMINSTER,MA,01453,USA,,America/New_York,,,,
815,815,Aeropostale,AUBURN AEROPOSTALE,42.2041,-71.83633,AUBURN MALL,AUBURN,MA,01501,USA,,America/New_York,,,,
1020,1020,Aeropostale,GREENDALE AEROPOSTALE,42.298694,-71.801953,GREENDALE MALL,WORCESTER,MA,01606,USA,,America/New_York,,,,
362,362,Aeropostale,SOLOMON POND AEROPOSTALE,42.354338,-71.612345,SOLOMON POND,MARLBOROUGH,MA,01752,USA,,America/New_York,,,,
106,106,Aeropostale,NATICK AEROPOSTALE,42.299275,-71.384962,NATICK MALL,NATICK,MA,01760,USA,,America/New_York,,,,
63,63,Aeropostale,BRLNGTON (MA) AEROPOSTALE,42.479847,-71.216305,BURLINGTON MALL SP C16A,BURLINGTON,MA,01803,USA,,America/New_York,,,,
50,50,Aeropostale,SQUARE ONE AEROPOSTALE,42.461952,-71.028332,SQUARE ONE MALL,SAUGUS,MA,01906,USA,,America/New_York,,,,
200,200,Aeropostale,NORTH SHORE AEROPOSTALE,42.543291,-70.942186,NORTH SHORE MALL,PEABODY,MA,01960,USA,,America/New_York,,,,
983,983,Aeropostale,PATRIOT PLACE AEROPOSTALE,42.087645,-71.265207,PATRIOT PLACE,FOXBORO,MA,02035,USA,,America/New_York,,,,
720,720,Aeropostale,WRENTHAM AEROPOSTALE,42.036217,-71.347273,WRENTHAM VILLAGE OUTLETS,WRENTHAM,MA,02093,USA,,America/New_York,,,,
1028,1028,Aeropostale,CAMBRIDGESIDE AEROPOSTALE,42.367048,-71.076299,CAMBRIDGESIDE GALLERIA,CAMBRIDGE,MA,02141,USA,,America/New_York,,,,
476,476,Aeropostale,SOUTH SHORE (MA) AEROPOST,42.220397,-71.027917,SOUTH SHORE MALL,BRAINTREE,MA,02184,USA,,America/New_York,,,,
759,759,Aeropostale,WESTGATE (MA) AEROPOSTALE,42.094434,-71.04977,WESTGATE MALL,BROCKTON,MA,02301,USA,,America/New_York,,,,
331,331,Aeropostale,HANOVER AEROPOSTALE,42.14714,-70.845362,HANOVER MALL,HANOVER,MA,02339,USA,,America/New_York,,,,
256,256,Aeropostale,INDEPENDENCE (MA) AEROPOS,41.968888,-70.7136,INDEPENDENCE MALL,KINGSTON,MA,02364,USA,,America/New_York,,,,
473,473,Aeropostale,ARSENAL AEROPOSTALE,42.363189,-71.16117,ARSENAL MALL,WATERTOWN,MA,02472,USA,,America/New_York,,,,
453,453,Aeropostale,CAPE COD AEROPOSTALE,41.668908,-70.296114,CAPE COD MALL,HYANNIS,MA,02601,USA,,America/New_York,,,,
287,287,Aeropostale,DARTMOUTH MALL AEROPOSTAL,41.640318,-70.991276,DARTMOUTH MALL,DARTMOUTH,MA,02747,USA,,America/New_York,,,,
70,70,Aeropostale,EMERALD SQ AEROPOSTALE,41.946015,-71.347098,EMERALD SQUARE  D322,NORTH ATTLEBORO,MA,02760,USA,,America/New_York,,,,
463,463,Aeropostale,SWANSEA AEROPOSTALE,41.758805,-71.218915,SWANSEA MALL,SWANSEA,MA,02777,USA,,America/New_York,,,,
151,151,Aeropostale,SILVER CITY AERO,41.867128,-71.050134,SILVER CITY GALLERIA MALL,TAUTON,MA,02780,USA,,America/New_York,,,,
962,962,Aeropostale,WARWICK AEROPOSTALE,41.726507,-71.479949,WARWICK MALL,WARWICK,RI,02886,USA,,America/New_York,,,,
208,208,Aeropostale,PROVIDENCE AEROPOSTALE,41.827751,-71.417768,PROVIDENCE PLACE     B307,PROVIDENCE,RI,02903,USA,,America/New_York,,,,
1107,1107,Aeropostale,MERRIMACK PREMIUM OUTLETS,42.872517,-71.490603,80 PREMIUM OUTLETS BLVD,MERRIMACK,NH,03054,USA,,America/New_York,,,,
236,236,Aeropostale,PHEASANT LANE AEROPOSTALE,42.70279,-71.440953,PHEASANT LANE MALL,NASHUA,NH,03060,USA,,America/New_York,,,,
379,379,Aeropostale,ROCKINGHAM PARK AEROPOSTA,42.764359,-71.230071,ROCKINGHAM PARK,SALEM,NH,03079,USA,,America/New_York,,,,
194,194,Aeropostale,MALL OF NH AEROPOSTALE,42.953856,-71.436198,MALL OF NEW HAMPSHIRE,MANCHESTER,NH,03103,USA,,America/New_York,,,,
907,907,Aeropostale,TILTON AEROPOSTALE,43.458875,-71.558919,TANGER OUTLETS TILTON,TILTON,NH,03276,USA,,America/New_York,,,,
370,370,Aeropostale,STEEPLEGATE AEROPOSTALE,43.22457,-71.488911,STEEPLEGATE MALL,CONCORD,NH,03301,USA,,America/New_York,,,,
176,176,Aeropostale,FOX RUN AEROPOSTALE,43.099962,-70.807917,FOX RUN MALL,NEWINGTON,NH,03801,USA,,America/New_York,,,,
790,790,Aeropostale,SETTLERS GREEN AEROPOSTAL,44.02227,-71.11422,SETTLERS GREEN,NORTH CONWAY,NH,03860,USA,,America/New_York,,,,
